# name	prop	strategy	detail	sha256(script)
bytes-str	0	direct		02333aecc76bb47ab283ed440524f7d699dd4199bdbaca165c854cf09db72f9d
bytes-str	1	lemma-free		9d30e55211e103b10ac1918fa7239580b94580954030bfd4ec3d16d5b7c751f3
bytes-str	1	direct		09e7607fa67081b332d4c978ee57bc2bdce1484840e56061381412fe232780c7
bytes-str	1	induction	binder 0 ctor 0	0c42bb4f492afb6b42bc7207e3595ff7fec41c96bd65052991321ffa70f24046
bytes-str	1	induction	binder 0 ctor 1	5852877c9953aeefcb57ad0315e40dee9f8aa8ca195a333d9c058db9436cef99
bytes-str	1	direct-fallback		09e7607fa67081b332d4c978ee57bc2bdce1484840e56061381412fe232780c7
caps-with	0	lemma-free		4995b8ce55790e00ae09145b34d0737a9a194f14620e0c014336f8f200556b0f
caps-with	0	direct		4995b8ce55790e00ae09145b34d0737a9a194f14620e0c014336f8f200556b0f
caps-with	0	induction	binder 1 ctor 0	59ea16a95c40dc6f07769b9f942526771c824e968f8d876fccd25daaf64afe91
caps-with	0	induction	binder 1 ctor 1	cd0234f7984fce6b3968c675d84cb13d15b0844f4bbee4549b3a293d7b018283
caps-with	0	direct-fallback		4995b8ce55790e00ae09145b34d0737a9a194f14620e0c014336f8f200556b0f
caps-with	1	lemma-free		5bc4ed9eee704ca7507da133e995a63d5f356152ebf6788782def36a13b477ae
caps-with	1	direct		5bc4ed9eee704ca7507da133e995a63d5f356152ebf6788782def36a13b477ae
caps-with	1	induction	binder 1 ctor 0	2f274dbaf181061b6b38c0f22cf3db4495bd07b7e4710bfd257dec3572320551
caps-with	1	induction	binder 1 ctor 1	f36e72be10cbfa5796a1bada4646e3ecca581603ca7b36604a50d49d60c79abe
caps-with	1	induction	binder 2 ctor 0	c9a705069d03ac37b313d062f294f9e77f6a4e107575522402cdd5649394ae71
caps-with	1	induction	binder 2 ctor 1	ea6a6e6d9a339ca8ef3cc8dfdc62d72703074daf4a9f61b10052967c55bb31ef
caps-with	1	lexicographic	binders 1,2 ctor 0 base	2f274dbaf181061b6b38c0f22cf3db4495bd07b7e4710bfd257dec3572320551
caps-with	1	lexicographic	binders 1,2 ctor 1,0	c58ef55ad3bd31d9b6bd7e665552707c5a4df59cf83224c99cbf66c8e2d57477
caps-with	1	lexicographic	binders 1,2 ctor 1,1	917624e4cd2c3971efeb2d10e188df06d05af1ea18ed70c095ed3370fb7f743f
caps-with	1	lexicographic	binders 2,1 ctor 0 base	c9a705069d03ac37b313d062f294f9e77f6a4e107575522402cdd5649394ae71
caps-with	1	lexicographic	binders 2,1 ctor 1,0	3386672d09d3d0071e3eac592faea72d553578ad3cdcf959ecbf52f20a6b3d9d
caps-with	1	lexicographic	binders 2,1 ctor 1,1	bd027a5758c56371df01a9ac7ce31f61017f8488540f474aac87fb1a97a7d40c
caps-with	1	direct-fallback		5bc4ed9eee704ca7507da133e995a63d5f356152ebf6788782def36a13b477ae
