# name	prop	sha256(direct-attempt script)
i-hull	2	9256d52a158550767f47d0ef36e75928cb248237cd2d6c68c0213f4f6270e519
i-hull	3	31a3edd1c54caa9ec07861822bf0822353c2db6aa43eace4fb0cef341a5c2a2c
i-hull	4	fd9742636659fac26143087be691b24ee8a4f387499436efec0f1b2cb3cdec7e
i-intersect	0	b3ced72b3271e453fb25445c18061ca29e8faa59651e8b38b148f574565cb76b
i-intersect	1	213b4f10575a52020b5cb9789c4221a1236bbf3f9c2453367fc2ace6f00bc013
i-intersect	2	0dee197cab0875abebe8e42b6fde46b8d0a23a9027490ab92d361719f10910ef
i-intersect	3	8d512115e0b9a098f1395669088ea8cb73adc8b80d9e953f17b0d708d0f65788
i-overlaps	0	24c68a81aa3dc265569fa5c89e9872ed232e79985e1929fa92782ea582a703d8
i-overlaps	1	e1bd20072b0f8b088bcbdcd9f26001c6f57ef5b52ff206c3478f0e8963612281
i-overlaps	2	5a91ced6ec0369769392ce2d6b039875f040ded36c89208ba572d4e3d61779e0
i-overlaps	3	92e5e311d9962d0d8a3a683973a72a75cfbb8fa642bebb15887b19a519b44321
i-overlaps	4	864c4900717e95e7e4a39a8cf75170d016a1ff56a181876c85d4294988d7fe23
index-of	0	3a2e85f9ccc89d06525b5543c76bb50e03290dcf89a4359790d7aaa679e6f4d9
index-of	1	696112e792643830798f7063e83c7713d09d75ddc40ec4942e2ae9012366c8c6
index-of	2	0fd8e8329379d55448b5cd87b45ea057e9d733d79a6f0be84ff2fec5c408d90d
init	0	4fe01dca9a744252e96e8f9468b9d8c295b83959683e470d39785cfaca099bb1
init	1	04fd5f084eec3cf3c6f9210ed88e64f513bc9111a8b2c4327df875bcccaf16c2
init	2	8358162d76c464abe84521f83e6834e0e661a018f9412b1bebe150938bd3bbf6
initials-or	0	62ce05cd6d4efaa06e0c04d095fb6c22ca74f1744581d29b3cca3a91543dfabe
initials-or	1	56567436834450ea62f65154e620426be56829566e81fd1b9e92d8b1aaff4a56
insert	0	ea396d3e0274fb5e4f7ffba5cb1d2b5f73cab4672b78c0fdbd8937ca13eb1b4e
insert	1	e1c88adef3d570a8521b4ba70e701f736ff1dc259dbc140596c6f2d8d02e3a17
insert	2	16f02260973c3c068888a0914bed70e1f5aaa969668956b14964d27fe663cc1f
insert	3	d22225d65058dff15e46081897db07f3aaa3bad4f4025afe291547739a15ca12
insert	4	cd42ca494c8a5b7b274dd65e6ddc106ea862f5c68afe9ee9c7a22b26ca47c3bd
insert	5	25bc4c337bb3aaf4f8c7e117d543fefd43532e9bac2cf8df3dc3c082021dad5f
insert-by	0	2ec75caffb5228d0c8f470ec5b8a14821e3eef545a5453fe2aae4dcaeb799d58
insert-by	1	0503257c6495fa2974fb1d90550312b6bb5f3cbd9555c4c4a30a7f209d769595
insert-by	2	6172e5b50883f39c8a7a57f0bb5a13fb5e6444645d0610d7550b59e2eab52e2b
int-embed	0	ea1b5204b9531be10a92ff871461cde3f5a923fdcb1ecc9be06e38c2ab6d644a
is-none	0	d30bf383c4705ab1e782d6822ea809191342a686092ee3b16e3c56845b4177ed
is-none	1	a9e4bbc5f80a94fa73af04c0b4200966b287c33dd6ccb12af4d5d19a6685541e
is-some	0	a7fbc0559d633f67f0b772a809d70ad07dcf7d83132cc4552690099b782ddaf1
is-some	1	3ee96b6c9997fc16342ab82ecf901935a38d59703284db5d48d4a1d865973441
is-sorted	0	fb41e50fbb826704fec8890e6328eabb104e0bfcea84ec4a05e600df1907c6c4
is-sorted	1	fb5c63789e85f69bd196f9f8e01dc990b45db5d34a2b0049133b8e955c76cbcd
is-sorted	2	cfd5e8bf0bcac5869ca9bfce99da4ebd2a601fa557413780b40b94e7c7f349c7
is-sorted	3	6f83cbac94c645ea9881d28c90507d902e0d3a92db316b3c61863e197d1a795b
is-sorted	4	6635b78de8518c533c1053aa172bb03b4cb31a39c07446009fcb049fa7dd8d94
join-with	0	2c617724f8e631d03fbcb38019201aec0bd697849cb3fd6f37512bcbc7581ce1
join-with	1	ad83c771d3f3307323c5df628a410240cbe69c0dac1fda1b62c9b0b56e1fcada
join-with	2	d0aa7b9e90032513a31a8ecbbfdc78960f97203f2ca9e963ecd1670526c84849
kv-get	0	f181ee78122603c34b782c3f7318475cedf9d247f1a8531fcda4a5b985dc5521
kv-get	1	c13b6424b8fb535a365217c51ceb37aa32782eb2c6c03afa0366d27a75c3ffb8
